timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-16T00:03:45.1734937+02:00,1.99%,162.5MiB / 3.672GiB,4.32%,165MB / 86.1MB,13MB / 3.64MB,21
2026-03-16T00:03:47.6882660+02:00,0.56%,162.5MiB / 3.672GiB,4.32%,165MB / 86.1MB,13MB / 3.64MB,21
2026-03-16T00:03:50.0789885+02:00,3.03%,162.5MiB / 3.672GiB,4.32%,165MB / 86.1MB,13MB / 3.64MB,21
2026-03-16T00:03:53.4649705+02:00,73.18%,163.3MiB / 3.672GiB,4.34%,165MB / 86.1MB,13MB / 3.64MB,21
2026-03-16T00:03:55.7410196+02:00,102.74%,163.3MiB / 3.672GiB,4.34%,165MB / 86.2MB,13MB / 3.64MB,21
2026-03-16T00:03:57.9732673+02:00,106.45%,163.3MiB / 3.672GiB,4.34%,165MB / 86.4MB,13MB / 3.64MB,22
2026-03-16T00:04:00.2127354+02:00,110.75%,162.7MiB / 3.672GiB,4.33%,165MB / 86.4MB,13MB / 3.64MB,22
2026-03-16T00:04:03.2023040+02:00,96.66%,162.7MiB / 3.672GiB,4.33%,165MB / 86.4MB,13MB / 3.64MB,22
2026-03-16T00:04:05.3764531+02:00,108.66%,163.2MiB / 3.672GiB,4.34%,166MB / 86.5MB,13MB / 3.64MB,21
2026-03-16T00:04:07.5990270+02:00,104.73%,163.6MiB / 3.672GiB,4.35%,166MB / 86.6MB,13MB / 3.64MB,22
2026-03-16T00:04:09.8962821+02:00,108.51%,163.3MiB / 3.672GiB,4.34%,166MB / 86.8MB,13MB / 3.64MB,22
2026-03-16T00:04:12.3073523+02:00,103.90%,162.8MiB / 3.672GiB,4.33%,166MB / 86.9MB,13MB / 3.64MB,21
2026-03-16T00:04:14.5485928+02:00,104.38%,162.9MiB / 3.672GiB,4.33%,166MB / 87.1MB,13MB / 3.64MB,22
2026-03-16T00:04:16.7115497+02:00,101.54%,164.2MiB / 3.672GiB,4.37%,167MB / 87.2MB,13MB / 3.64MB,21
2026-03-16T00:04:18.8845099+02:00,101.28%,163.9MiB / 3.672GiB,4.36%,167MB / 87.4MB,13MB / 3.64MB,21
2026-03-16T00:04:22.2196097+02:00,106.14%,163.3MiB / 3.672GiB,4.34%,167MB / 87.6MB,13MB / 3.64MB,21
2026-03-16T00:04:24.4100703+02:00,103.90%,163.9MiB / 3.672GiB,4.36%,167MB / 87.7MB,13MB / 3.64MB,21
2026-03-16T00:04:26.6008322+02:00,101.69%,164.7MiB / 3.672GiB,4.38%,168MB / 87.9MB,13MB / 3.64MB,21
2026-03-16T00:04:28.7894285+02:00,103.36%,163.3MiB / 3.672GiB,4.34%,168MB / 88.1MB,13MB / 3.64MB,22
2026-03-16T00:04:32.1087396+02:00,105.25%,163.4MiB / 3.672GiB,4.35%,168MB / 88.3MB,13MB / 3.64MB,22
2026-03-16T00:04:34.3185095+02:00,104.23%,163.7MiB / 3.672GiB,4.35%,169MB / 88.5MB,13MB / 3.64MB,22
2026-03-16T00:04:36.4886973+02:00,104.33%,163.5MiB / 3.672GiB,4.35%,169MB / 88.7MB,13MB / 3.64MB,21
2026-03-16T00:04:38.6664472+02:00,102.33%,163.9MiB / 3.672GiB,4.36%,169MB / 88.9MB,13MB / 3.64MB,21
2026-03-16T00:04:41.8498229+02:00,101.81%,163.4MiB / 3.672GiB,4.35%,169MB / 89.2MB,13MB / 3.64MB,21
2026-03-16T00:04:44.0325958+02:00,103.44%,164.3MiB / 3.672GiB,4.37%,170MB / 89.4MB,13MB / 3.64MB,22
2026-03-16T00:04:46.3954414+02:00,102.95%,163.6MiB / 3.672GiB,4.35%,170MB / 89.5MB,13MB / 3.64MB,21
2026-03-16T00:04:48.6222596+02:00,105.48%,163.7MiB / 3.672GiB,4.35%,170MB / 89.7MB,13MB / 3.64MB,22
2026-03-16T00:04:52.1537505+02:00,105.80%,163.3MiB / 3.672GiB,4.34%,171MB / 90MB,13MB / 3.64MB,21
2026-03-16T00:04:54.3698087+02:00,108.78%,163.5MiB / 3.672GiB,4.35%,171MB / 90.2MB,13MB / 3.64MB,22
2026-03-16T00:04:56.5809908+02:00,106.62%,163.8MiB / 3.672GiB,4.36%,171MB / 90.4MB,13MB / 3.64MB,22
2026-03-16T00:04:58.7292739+02:00,102.18%,163.3MiB / 3.672GiB,4.34%,171MB / 90.5MB,13MB / 3.64MB,21
2026-03-16T00:05:01.9519199+02:00,103.37%,163.4MiB / 3.672GiB,4.35%,172MB / 90.7MB,13MB / 3.64MB,22
