timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-16T00:28:13.8355453+02:00,3.91%,368.9MiB / 3.672GiB,9.81%,35.6kB / 94.6kB,118MB / 0B,44
2026-03-16T00:28:16.2193458+02:00,4.11%,369.2MiB / 3.672GiB,9.82%,36.1kB / 95.7kB,118MB / 0B,44
2026-03-16T00:28:18.5381030+02:00,1.79%,368.9MiB / 3.672GiB,9.81%,36.7kB / 96.9kB,118MB / 0B,44
2026-03-16T00:28:22.1284673+02:00,4.48%,368.9MiB / 3.672GiB,9.81%,37.7kB / 98.9kB,118MB / 0B,44
2026-03-16T00:28:24.4391855+02:00,200.76%,371MiB / 3.672GiB,9.87%,243kB / 230kB,118MB / 0B,44
2026-03-16T00:28:26.6864157+02:00,203.54%,371.8MiB / 3.672GiB,9.89%,511kB / 421kB,118MB / 0B,47
2026-03-16T00:28:28.9807560+02:00,211.52%,371.7MiB / 3.672GiB,9.89%,838kB / 640kB,118MB / 0B,45
2026-03-16T00:28:32.2847671+02:00,207.06%,373MiB / 3.672GiB,9.92%,1.33MB / 973kB,118MB / 0B,45
2026-03-16T00:28:34.5167134+02:00,206.37%,373.5MiB / 3.672GiB,9.93%,1.74MB / 1.26MB,118MB / 0B,45
2026-03-16T00:28:36.7597310+02:00,211.38%,373.9MiB / 3.672GiB,9.94%,2.13MB / 1.52MB,118MB / 0B,46
2026-03-16T00:28:39.0719009+02:00,212.42%,374.7MiB / 3.672GiB,9.96%,2.48MB / 1.76MB,118MB / 0B,45
2026-03-16T00:28:42.5564928+02:00,210.02%,375.8MiB / 3.672GiB,9.99%,3.02MB / 2.14MB,118MB / 0B,45
2026-03-16T00:28:44.8069818+02:00,208.67%,375.7MiB / 3.672GiB,9.99%,3.46MB / 2.44MB,118MB / 0B,45
2026-03-16T00:28:47.0294678+02:00,204.82%,376.1MiB / 3.672GiB,10.00%,3.9MB / 2.74MB,118MB / 0B,46
2026-03-16T00:28:49.3621301+02:00,197.91%,375.6MiB / 3.672GiB,9.99%,4.31MB / 3.02MB,118MB / 0B,45
2026-03-16T00:28:52.6011834+02:00,214.49%,376.4MiB / 3.672GiB,10.01%,4.86MB / 3.4MB,118MB / 0B,47
2026-03-16T00:28:54.8138547+02:00,208.93%,376.7MiB / 3.672GiB,10.02%,5.19MB / 3.62MB,118MB / 0B,45
2026-03-16T00:28:57.0692588+02:00,209.98%,376.9MiB / 3.672GiB,10.02%,5.52MB / 3.86MB,118MB / 0B,46
2026-03-16T00:28:59.5881119+02:00,209.70%,377.2MiB / 3.672GiB,10.03%,5.91MB / 4.14MB,118MB / 0B,46
2026-03-16T00:29:02.7809522+02:00,211.19%,376.8MiB / 3.672GiB,10.02%,6.4MB / 4.47MB,118MB / 0B,45
2026-03-16T00:29:04.9898760+02:00,205.11%,377.4MiB / 3.672GiB,10.04%,6.95MB / 4.84MB,118MB / 0B,46
2026-03-16T00:29:07.1661777+02:00,208.96%,377.2MiB / 3.672GiB,10.03%,7.65MB / 5.33MB,118MB / 0B,47
2026-03-16T00:29:09.3389795+02:00,190.12%,376.6MiB / 3.672GiB,10.02%,8.32MB / 5.78MB,118MB / 0B,46
2026-03-16T00:29:11.6630296+02:00,206.24%,377.3MiB / 3.672GiB,10.03%,8.86MB / 6.16MB,118MB / 0B,45
2026-03-16T00:29:13.8936057+02:00,208.25%,377.1MiB / 3.672GiB,10.03%,9.32MB / 6.49MB,118MB / 0B,46
2026-03-16T00:29:16.0190618+02:00,202.90%,377.4MiB / 3.672GiB,10.04%,10.2MB / 7.07MB,118MB / 0B,46
2026-03-16T00:29:18.1316283+02:00,204.34%,377.7MiB / 3.672GiB,10.04%,11.1MB / 7.68MB,118MB / 0B,47
2026-03-16T00:29:21.3282135+02:00,203.07%,377.6MiB / 3.672GiB,10.04%,12.3MB / 8.54MB,118MB / 0B,45
2026-03-16T00:29:23.5649937+02:00,202.93%,378.1MiB / 3.672GiB,10.05%,12.9MB / 8.91MB,118MB / 0B,45
2026-03-16T00:29:25.7765348+02:00,207.52%,377.8MiB / 3.672GiB,10.05%,13.3MB / 9.24MB,118MB / 0B,46
2026-03-16T00:29:28.1545537+02:00,210.50%,378.2MiB / 3.672GiB,10.06%,13.8MB / 9.59MB,118MB / 0B,46
2026-03-16T00:29:30.3525875+02:00,207.92%,378MiB / 3.672GiB,10.05%,14.2MB / 9.84MB,118MB / 0B,45
2026-03-16T00:29:33.5104118+02:00,208.38%,378.2MiB / 3.672GiB,10.06%,15.5MB / 10.8MB,118MB / 0B,46
2026-03-16T00:29:35.6634422+02:00,208.58%,378.5MiB / 3.672GiB,10.07%,16.6MB / 11.5MB,118MB / 0B,45
2026-03-16T00:29:37.8201031+02:00,206.99%,378.5MiB / 3.672GiB,10.06%,17.4MB / 12MB,118MB / 0B,45
2026-03-16T00:29:40.0008513+02:00,208.70%,378MiB / 3.672GiB,10.05%,17.9MB / 12.4MB,118MB / 0B,46
